episode,return,length,critic_loss
562,-500.363084,555,864.945068359375
563,-358.889598,647,783.1585693359375
564,-665.666273,446,505.505615234375
565,872.116009,1000,469.09844970703125
566,-218.974849,700,425.5304870605469
567,-811.354899,399,1680.00537109375
568,-599.278713,491,368.96551513671875
569,-534.383382,534,699.890625
570,-387.124009,612,1168.1229248046875
571,49.294362,841,472.5843505859375
572,-984.232508,295,374.4913330078125
573,1378.387787,1000,781.8167724609375
574,43.748738,851,1728.3857421875
575,-467.154433,563,983.75
576,289.052764,978,457.247314453125
577,-1042.133348,262,895.1102294921875
578,-878.527499,350,515.771484375
579,-527.833904,552,715.202880859375
580,-484.957622,548,911.5528564453125
581,-971.837955,277,1267.01220703125
582,-300.563473,647,967.2410888671875
583,-656.439967,459,299.3050537109375
584,128.120448,916,749.213134765625
585,-83.453382,794,293.9638671875
586,-847.418496,374,276.249755859375
587,-1341.483737,90,644.5745239257812
588,-776.766872,396,407.95465087890625
589,191.355766,961,1155.3564453125
590,-976.720188,290,549.0586547851562
591,848.802567,1000,1446.226806640625
592,-453.797514,576,641.0699462890625
593,-653.887543,460,299.45654296875
594,-799.755604,378,602.2493896484375
595,-101.567892,798,344.83935546875
596,192.33664,930,645.2916259765625
597,-671.985854,460,791.235595703125
598,-1016.891399,281,210.64456176757812
599,-619.85627,490,441.7597351074219
600,-86.100519,755,472.074951171875
601,1412.903694,1000,918.863037109375
602,-650.038927,466,543.328369140625
603,-947.077416,307,619.93603515625
604,-976.157121,289,836.0980224609375
605,-529.094403,539,396.98248291015625
606,1864.920714,1000,476.5750732421875
607,-689.276992,454,322.3056640625
608,891.181552,1000,1592.3189697265625
609,-1030.530332,270,1448.2086181640625
610,-178.275048,723,762.714599609375
611,-78.709445,766,481.0931091308594
612,-371.383661,631,508.40277099609375
613,-508.768557,549,1016.9244384765625
614,-486.486041,561,979.6939697265625
615,-1125.119637,206,410.6671142578125
616,43.05372,842,2409.57470703125
617,-327.653025,643,498.23651123046875
618,-5.653899,824,991.0053100585938
619,-860.69726,365,685.0475463867188
620,-792.630936,411,562.1619873046875
621,86.905911,908,1720.590576171875
622,-716.302412,425,426.93255615234375
623,-612.894704,476,809.0087890625
624,-618.438014,474,667.3948974609375
625,50.556243,840,418.455810546875
626,-237.67492,681,545.697998046875
627,-249.675114,660,883.213623046875
628,-459.011881,571,396.13775634765625
629,-304.618643,650,546.036376953125
630,-298.336307,650,468.5236511230469
631,1356.440333,1000,992.62744140625
632,-779.726469,390,612.72509765625
633,-706.889744,438,905.7811279296875
634,-837.773233,363,700.9420166015625
635,-56.397394,792,405.21307373046875
636,119.526852,896,706.98046875
637,-828.627139,366,496.5980224609375
638,-180.381098,711,628.2440185546875
639,-525.100176,525,1627.0401611328125
640,-35.770496,802,551.470947265625
641,-613.903022,486,1193.1041259765625
642,150.903009,914,1270.4150390625
643,-221.260965,707,1277.09521484375
644,-642.146261,466,608.397216796875
645,-93.804836,762,481.45654296875
646,-801.166939,383,821.46435546875
647,843.79898,1000,423.15087890625
648,894.285915,1000,819.3570556640625
649,-833.390011,364,435.3552551269531
650,-72.934541,784,328.6819152832031
651,-980.931271,285,1188.280517578125
652,183.42306,904,1827.583740234375
653,-453.980424,599,439.2816467285156
654,-769.57864,396,303.638427734375
655,-280.505554,682,747.5311279296875
656,-282.203672,666,2041.55419921875
657,-506.959765,541,394.61029052734375
658,-386.952836,604,1373.5703125
659,-169.593675,716,718.9320068359375
660,-666.163524,469,829.407470703125
661,-637.436809,477,853.1072387695312
662,-124.009248,739,825.622802734375
663,898.983939,1000,319.326171875
664,-1299.567988,117,339.40484619140625
665,-883.603672,340,1175.15234375
666,-573.87943,507,463.84619140625
667,-1035.518813,273,351.4972229003906
668,-669.855582,441,1152.909423828125
669,-968.852908,299,341.49798583984375
670,16.263662,829,403.1638488769531
671,-742.694315,419,1270.301025390625
672,-619.541325,485,601.2247314453125
673,886.139135,1000,941.9472045898438
674,1403.042424,1000,1344.2354736328125
675,-846.235692,363,396.4176330566406
676,-317.103234,653,946.3026123046875
677,-977.641146,292,802.1653442382812
678,-425.038512,573,601.603271484375
679,-644.104204,469,313.26263427734375
680,-800.484752,388,396.4029541015625
681,27.92126,837,946.5775146484375
682,-656.936358,454,445.3616943359375
683,-835.292248,379,359.318115234375
684,-804.557441,383,592.0145874023438
685,-802.120129,385,781.180419921875
686,-366.408165,613,889.009765625
687,219.636,937,550.9581909179688
688,-458.107551,579,500.96246337890625
689,851.505999,1000,1633.6199951171875
690,-396.714014,610,826.9073486328125
691,1463.987049,1000,1381.89599609375
692,1355.662339,1000,623.4628295898438
693,-805.225315,373,1057.243896484375
694,-370.700655,615,1249.39892578125
695,38.98376,830,762.6297607421875
696,-442.395474,579,271.0093688964844
697,-545.219771,507,1282.643310546875
698,914.32519,1000,483.96014404296875
699,-414.492712,601,990.78564453125
700,55.199371,845,500.0152587890625
701,-453.599896,569,476.7906494140625
702,1383.552302,1000,465.55767822265625
